user_id,department,timestamp,auth_type,success,system_accessed
EMP1034,Finance,2026-07-20 15:41:00,basic,true,Snowflake-Prod
EMP1032,Sales,2026-08-04 08:40:00,sso,true,Snowflake-Dev
EMP1001,Marketing,2026-07-14 15:04:00,basic,true,Snowflake-Prod
EMP1012,Sales,2026-07-30 15:40:00,sso,true,Finance-ERP
EMP1030,Marketing,2026-07-12 08:16:00,token,true,Finance-ERP
EMP1014,Finance,2026-07-26 11:35:00,token,true,Finance-ERP
EMP1038,Marketing,2026-07-18 13:54:00,basic,true,Internal-Wiki
EMP1033,IT,2026-07-26 16:30:00,basic,true,Sales-CRM
EMP1034,Finance,2026-07-21 14:26:00,basic,true,Snowflake-Prod
EMP1037,IT,2026-07-04 16:29:00,sso,true,HR-Portal
EMP1005,Finance,2026-07-01 15:39:00,basic,true,Snowflake-Dev
EMP1025,Sales,2026-07-03 15:14:00,basic,true,Snowflake-Prod
EMP1003,Marketing,2026-07-01 13:49:00,token,true,Snowflake-Prod
EMP1015,IT,2026-07-19 12:44:00,token,true,HR-Portal
EMP1029,HR,2026-08-01 11:22:00,sso,true,Snowflake-Dev
EMP1016,Finance,2026-07-08 16:48:00,key,true,Snowflake-Prod
EMP1016,Finance,2026-07-07 17:47:00,key,true,Snowflake-Prod
EMP1032,Sales,2026-07-23 17:32:00,sso,true,Snowflake-Dev
EMP1017,Finance,2026-07-11 15:35:00,key,true,Snowflake-Dev
EMP1006,IT,2026-07-29 09:49:00,token,true,Snowflake-Prod
EMP1011,Finance,2026-07-26 17:47:00,key,true,Snowflake-Prod
EMP1010,Engineering,2026-07-29 09:51:00,key,true,HR-Portal
EMP1027,Engineering,2026-07-13 09:06:00,key,true,Finance-ERP
EMP1027,Engineering,2026-08-01 16:48:00,key,true,Finance-ERP
EMP1011,Finance,2026-08-01 16:29:00,key,true,Snowflake-Prod
EMP1038,Marketing,2026-07-24 15:35:00,basic,true,Internal-Wiki
EMP1037,IT,2026-07-25 15:00:00,sso,true,HR-Portal
EMP1021,Finance,2026-07-08 16:48:00,token,true,Finance-ERP
EMP1004,Finance,2026-07-16 08:25:00,sso,true,Finance-ERP
EMP1031,IT,2026-07-31 11:29:00,key,true,Sales-CRM
EMP1039,IT,2026-07-15 16:24:00,key,true,HR-Portal
EMP1024,Marketing,2026-07-21 10:24:00,basic,true,Finance-ERP
EMP1003,Marketing,2026-07-08 11:01:00,token,true,Snowflake-Prod
EMP1022,Marketing,2026-07-11 15:41:00,basic,true,Snowflake-Dev
EMP1040,Finance,2026-07-16 18:18:00,key,true,HR-Portal
EMP1015,IT,2026-07-21 14:06:00,token,false,HR-Portal
EMP1021,Finance,2026-07-21 10:40:00,token,true,HR-Portal
EMP1027,Engineering,2026-07-07 15:39:00,key,true,Finance-ERP
EMP1003,Marketing,2026-07-26 15:11:00,token,true,Snowflake-Prod
EMP1035,Engineering,2026-07-06 16:41:00,sso,true,Internal-Wiki
EMP1039,IT,2026-07-22 17:02:00,key,true,HR-Portal
EMP1013,Marketing,2026-07-23 13:46:00,key,true,Sales-CRM
EMP1025,Sales,2026-07-26 13:49:00,basic,true,Snowflake-Prod
EMP1021,Finance,2026-07-18 09:36:00,token,true,Finance-ERP
EMP1040,Finance,2026-07-09 11:52:00,key,true,HR-Portal
EMP1013,Marketing,2026-07-29 10:05:00,key,true,Sales-CRM
EMP1033,IT,2026-07-24 08:23:00,basic,true,Sales-CRM
EMP1020,Sales,2026-08-01 08:05:00,token,true,Internal-Wiki
EMP1032,Sales,2026-07-04 00:09:00,sso,true,Snowflake-Dev
EMP1003,Marketing,2026-07-08 08:54:00,token,true,Snowflake-Prod
EMP1009,Engineering,2026-07-27 13:57:00,key,true,Internal-Wiki
EMP1012,Sales,2026-07-13 23:08:00,sso,true,Finance-ERP
EMP1034,Finance,2026-07-19 09:16:00,basic,true,Snowflake-Prod
EMP1023,HR,2026-07-19 12:01:00,token,true,HR-Portal
EMP1023,HR,2026-07-24 14:09:00,token,true,HR-Portal
EMP1015,IT,2026-07-20 18:52:00,token,true,HR-Portal
EMP1017,Finance,2026-07-31 09:52:00,key,true,Snowflake-Dev
EMP1015,IT,2026-07-24 10:19:00,token,false,HR-Portal
EMP1006,IT,2026-07-18 15:15:00,token,true,Snowflake-Prod
EMP1039,IT,2026-07-24 14:44:00,key,true,HR-Portal
EMP1007,Marketing,2026-07-22 12:29:00,sso,true,Internal-Wiki
EMP1005,Finance,2026-07-29 10:57:00,basic,true,Snowflake-Dev
EMP1036,HR,2026-07-31 08:05:00,key,true,Sales-CRM
EMP1007,Marketing,2026-07-10 09:10:00,sso,true,Internal-Wiki
EMP1009,Engineering,2026-08-04 12:51:00,key,true,Internal-Wiki
EMP1016,Finance,2026-07-27 15:03:00,key,true,Snowflake-Prod
EMP1015,IT,2026-07-21 14:00:00,token,false,HR-Portal
EMP1026,Finance,2026-07-01 12:34:00,sso,true,HR-Portal
EMP1037,IT,2026-07-23 17:44:00,sso,false,HR-Portal
EMP1010,Engineering,2026-07-28 10:46:00,key,true,Snowflake-Dev
EMP1010,Engineering,2026-07-16 09:09:00,key,true,Snowflake-Dev
EMP1009,Engineering,2026-07-28 10:17:00,key,true,Internal-Wiki
EMP1040,Finance,2026-07-04 18:05:00,key,true,HR-Portal
EMP1006,IT,2026-07-22 18:54:00,token,true,Snowflake-Prod
EMP1039,IT,2026-07-10 09:08:00,key,true,HR-Portal
EMP1014,Finance,2026-07-14 12:48:00,token,true,Finance-ERP
EMP1015,IT,2026-07-25 17:53:00,token,true,HR-Portal
EMP1005,Finance,2026-08-04 10:08:00,basic,true,Snowflake-Dev
EMP1018,Sales,2026-07-01 16:12:00,key,true,Sales-CRM
EMP1018,Sales,2026-07-19 09:36:00,key,true,Sales-CRM
EMP1004,Finance,2026-07-23 10:11:00,sso,false,Finance-ERP
EMP1033,IT,2026-07-09 13:59:00,basic,true,Sales-CRM
EMP1001,Marketing,2026-07-07 14:14:00,basic,true,Snowflake-Prod
EMP1001,Marketing,2026-08-04 15:26:00,basic,true,Snowflake-Prod
EMP1039,IT,2026-07-04 18:41:00,key,true,HR-Portal
EMP1004,Finance,2026-07-05 18:40:00,sso,true,Finance-ERP
EMP1036,HR,2026-07-07 13:15:00,key,true,Sales-CRM
EMP1018,Sales,2026-08-04 12:01:00,key,true,Sales-CRM
EMP1007,Marketing,2026-08-02 16:53:00,sso,true,Internal-Wiki
EMP1002,Sales,2026-07-03 11:30:00,basic,true,Snowflake-Dev
EMP1015,IT,2026-08-03 18:28:00,token,false,HR-Portal
EMP1004,Finance,2026-07-27 14:35:00,sso,true,Finance-ERP
EMP1032,Sales,2026-08-03 23:23:00,sso,true,Snowflake-Dev
EMP1012,Sales,2026-07-03 11:45:00,sso,true,Finance-ERP
EMP1013,Marketing,2026-07-04 12:24:00,key,true,Sales-CRM
EMP1011,Finance,2026-07-29 14:30:00,key,true,Snowflake-Prod
EMP1036,HR,2026-07-19 10:40:00,key,true,Sales-CRM
EMP1003,Marketing,2026-07-03 12:31:00,token,true,Snowflake-Prod
EMP1026,Finance,2026-07-24 09:59:00,sso,true,HR-Portal
EMP1004,Finance,2026-07-08 15:19:00,sso,true,Finance-ERP
EMP1037,IT,2026-07-21 18:20:00,sso,true,HR-Portal
EMP1025,Sales,2026-07-13 15:44:00,basic,false,Snowflake-Prod
EMP1039,IT,2026-07-02 08:50:00,key,true,HR-Portal
EMP1016,Finance,2026-07-06 16:28:00,key,true,Snowflake-Prod
EMP1035,Engineering,2026-07-10 12:05:00,sso,true,Internal-Wiki
EMP1007,Marketing,2026-07-20 18:32:00,sso,true,Internal-Wiki
EMP1026,Finance,2026-07-18 08:36:00,sso,true,HR-Portal
EMP1028,Engineering,2026-07-12 09:58:00,token,true,Internal-Wiki
EMP1035,Engineering,2026-07-09 12:02:00,sso,true,Internal-Wiki
EMP1028,Engineering,2026-07-14 16:48:00,token,true,Internal-Wiki
EMP1036,HR,2026-07-22 18:07:00,key,true,Sales-CRM
EMP1022,Marketing,2026-07-27 18:55:00,basic,true,Snowflake-Dev
EMP1035,Engineering,2026-07-09 18:55:00,sso,true,Internal-Wiki
EMP1026,Finance,2026-07-30 17:15:00,sso,true,HR-Portal
EMP1015,IT,2026-08-02 08:02:00,token,true,HR-Portal
EMP1021,Finance,2026-07-19 12:28:00,token,true,Finance-ERP
EMP1037,IT,2026-07-31 11:50:00,sso,true,HR-Portal
EMP1012,Sales,2026-07-10 18:04:00,sso,true,Finance-ERP
EMP1038,Marketing,2026-07-10 10:42:00,basic,true,Internal-Wiki
EMP1022,Marketing,2026-07-29 13:27:00,basic,true,Snowflake-Dev
EMP1025,Sales,2026-07-25 09:43:00,basic,true,Snowflake-Prod
EMP1009,Engineering,2026-07-16 10:45:00,key,true,Internal-Wiki
EMP1008,HR,2026-07-11 12:06:00,sso,true,Finance-ERP
EMP1027,Engineering,2026-07-10 09:30:00,key,true,Finance-ERP
EMP1016,Finance,2026-07-20 11:51:00,key,true,Snowflake-Prod
EMP1024,Marketing,2026-07-07 16:54:00,basic,true,Finance-ERP
EMP1014,Finance,2026-07-05 08:27:00,token,true,Finance-ERP
EMP1017,Finance,2026-07-11 13:08:00,key,true,Snowflake-Dev
EMP1025,Sales,2026-07-25 18:50:00,basic,true,Snowflake-Prod
EMP1010,Engineering,2026-07-01 14:01:00,key,true,Snowflake-Dev
EMP1011,Finance,2026-07-12 13:32:00,key,true,Snowflake-Prod
EMP1020,Sales,2026-07-15 12:49:00,token,true,Internal-Wiki
EMP1030,Marketing,2026-07-20 18:26:00,token,true,Finance-ERP
EMP1019,Engineering,2026-07-11 15:53:00,token,true,HR-Portal
EMP1032,Sales,2026-07-14 16:08:00,sso,true,Snowflake-Dev
EMP1030,Marketing,2026-07-29 08:03:00,token,true,Finance-ERP
EMP1021,Finance,2026-07-11 17:29:00,token,true,Finance-ERP
